,round_epochs,val_loss,val_mae,loss,mae,neurons_in_1st_h_layer,neurons_in_2nd_h_layer
0,10,0.21427102613947796,0.30482348799705505,0.2515981303215346,0.37512877583503723,8,50
1,10,0.3327537518259891,0.4063940644264221,0.478203491326226,0.5360714197158813,2,10
2,10,0.2597349684472168,0.3596291244029999,0.3682251063666971,0.4656756520271301,5,8
3,10,1.119064192300414,0.9967339038848877,1.20145300082971,1.0161064863204956,4,4
4,10,0.18755142027722738,0.2422681748867035,0.18347126709356198,0.29464223980903625,200,200
5,10,0.20512790982677395,0.30312293767929077,0.2570444830163397,0.37997809052467346,10,20
6,10,0.5388046320840266,0.6641578078269958,0.8350450873744346,0.8071591854095459,1,20
7,10,0.9871885606004903,0.9534156918525696,1.2286043746495416,0.9826099276542664,200,6
8,10,0.2935031251665051,0.43573907017707825,0.40311227417200396,0.49412357807159424,2,20
9,10,0.9884212220568952,0.9543065428733826,1.3066228573838963,1.021481990814209,3,1
10,10,0.9807797413836467,0.946616530418396,1.1958673095122148,0.9797348976135254,2,9
11,10,0.20523696612057463,0.30276983976364136,0.30071780613752574,0.41655024886131287,10,8
12,10,0.21929593810867914,0.28497758507728577,0.3209545931263502,0.4289185702800751,10,10
13,10,0.988789275058752,0.9545601606369019,1.2080031248522238,0.9791610240936279,7,2
14,10,0.3186719569322702,0.4287986159324646,0.376984136800496,0.476874977350235,1,200
15,10,0.9872627838227654,0.9534708261489868,1.280881625765251,1.013647198677063,2,3
16,10,0.9903067967590963,0.9555681347846985,1.3009533140220912,1.0199617147445679,8,2
17,10,0.29751771771577856,0.4229513704776764,0.4592208737042162,0.5175445675849915,9,10
18,10,0.19999497726531304,0.29019126296043396,0.22055283649738963,0.3431106209754944,5,200
